model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__n_estimators
logistic_regression,0.00591120719909668,0.0005302141588287246,0.008543252944946289,0.0003747564520233202,0.01,{'classifier__C': 0.01},0.9948400412796697,0.9989680082559339,0.9958720330237358,0.9736842105263157,0.9922600619195046,0.991124871001032,0.008981293177310478,5,0.945054945054945,0.978021978021978,0.9230769230769231,0.9340659340659341,0.9560439560439561,0.9472527472527472,0.018906209378115643,5,1.0,0.9705882352941176,1.0,1.0,1.0,0.9941176470588236,0.011764705882352944,1,0.8529411764705882,0.9705882352941176,0.7941176470588235,0.8235294117647058,0.8823529411764706,0.8647058823529413,0.06056253024110001,5,0.9206349206349206,0.9705882352941176,0.8852459016393442,0.9032258064516129,0.9375,0.9234389728039991,0.02931180965656443,5,,,,
logistic_regression,0.004963302612304687,0.00013768747048777192,0.007708501815795898,0.0004392481293063249,0.1,{'classifier__C': 0.1},0.9969040247678018,0.9989680082559339,0.9989680082559339,0.9840041279669762,0.9958720330237358,0.9949432404540763,0.005599446838493512,2,0.945054945054945,0.967032967032967,0.978021978021978,0.978021978021978,0.989010989010989,0.9714285714285715,0.01490621974313247,2,1.0,0.9428571428571428,1.0,1.0,1.0,0.9885714285714287,0.022857142857142864,2,0.8529411764705882,0.9705882352941176,0.9411764705882353,0.9411764705882353,0.9705882352941176,0.9352941176470588,0.04322628957852668,4,0.9206349206349206,0.9565217391304348,0.9696969696969697,0.9696969696969697,0.9850746268656716,0.9603250452049933,0.02180815835979674,2,,,,
logistic_regression,0.005032634735107422,0.000613396295968683,0.00796680450439453,0.0008627864370201036,1.0,{'classifier__C': 1},0.9948400412796697,0.9989680082559339,1.0,0.9871001031991744,0.9979360165118679,0.9957688338493291,0.004665698474904977,1,0.9560439560439561,0.967032967032967,1.0,0.978021978021978,0.967032967032967,0.9736263736263737,0.014906219743132443,1,1.0,0.9428571428571428,1.0,1.0,0.9428571428571428,0.9771428571428572,0.027994168488950616,3,0.8823529411764706,0.9705882352941176,1.0,0.9411764705882353,0.9705882352941176,0.9529411764705882,0.03989605872426629,1,0.9375,0.9565217391304348,1.0,0.9696969696969697,0.9565217391304348,0.9640480895915677,0.020700447685741707,1,,,,
logistic_regression,0.007431745529174805,0.0006252114002292821,0.007779312133789062,0.0007671904656927531,10.0,{'classifier__C': 10},0.9938080495356036,0.9958720330237358,0.9979360165118679,0.9876160990712075,0.9963880288957689,0.9943240454076367,0.0036045921974350737,3,0.945054945054945,0.978021978021978,0.967032967032967,0.978021978021978,0.967032967032967,0.9670329670329669,0.012037858406706946,3,0.967741935483871,0.9705882352941176,0.9696969696969697,1.0,0.9428571428571428,0.9701768566664203,0.018122444680340823,4,0.8823529411764706,0.9705882352941176,0.9411764705882353,0.9411764705882353,0.9705882352941176,0.9411764705882353,0.032218973970892135,3,0.9230769230769231,0.9705882352941176,0.9552238805970149,0.9696969696969697,0.9565217391304348,0.9550215495590921,0.01720720970221747,3,,,,
logistic_regression,0.008974409103393555,0.0007469406924403507,0.008001232147216797,0.0006417347853319437,100.0,{'classifier__C': 100},0.9938080495356038,0.9829721362229102,0.9969040247678019,0.9881320949432405,0.9953560371517027,0.9914344685242519,0.00516614696007588,4,0.9560439560439561,0.967032967032967,0.945054945054945,0.978021978021978,0.9560439560439561,0.9604395604395604,0.011206636293610506,4,0.96875,0.9428571428571428,0.9142857142857143,1.0,0.9166666666666666,0.9485119047619047,0.03249040500260902,5,0.9117647058823529,0.9705882352941176,0.9411764705882353,0.9411764705882353,0.9705882352941176,0.9470588235294117,0.022009749333964365,2,0.9393939393939394,0.9565217391304348,0.927536231884058,0.9696969696969697,0.9428571428571428,0.9472012045925089,0.014556560208877177,4,,,,
random_forest,0.1907959461212158,0.008303580962702069,0.017192268371582033,0.0007319202884876087,,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 150}",0.9824561403508771,1.0,0.9927760577915377,0.9855521155830754,0.9816821465428277,0.9884932920536634,0.006960399888097926,1,0.9560439560439561,0.989010989010989,0.945054945054945,0.9560439560439561,0.967032967032967,0.9626373626373628,0.014906219743132469,6,0.96875,0.9714285714285714,0.967741935483871,0.9411764705882353,0.9696969696969697,0.9637587894395295,0.011356287249804036,9,0.9117647058823529,1.0,0.8823529411764706,0.9411764705882353,0.9411764705882353,0.9352941176470588,0.03901911518065177,6,0.9393939393939394,0.9855072463768116,0.9230769230769231,0.9411764705882353,0.9552238805970149,0.948875692006585,0.02096152854779826,7,,sqrt,1.0,150.0
random_forest,0.3663173675537109,0.009721047325268635,0.02629055976867676,0.0012820190274070585,,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 300}",0.9832301341589268,1.0,0.9927760577915377,0.9829721362229102,0.9809081527347782,0.9879772961816305,0.007281943183619433,3,0.9560439560439561,0.989010989010989,0.945054945054945,0.945054945054945,0.967032967032967,0.9604395604395606,0.016446845656149216,10,0.96875,0.9714285714285714,0.967741935483871,0.9142857142857143,0.9696969696969697,0.9583806381790254,0.02208088669446735,11,0.9117647058823529,1.0,0.8823529411764706,0.9411764705882353,0.9411764705882353,0.9352941176470588,0.03901911518065177,6,0.9393939393939394,0.9855072463768116,0.9230769230769231,0.927536231884058,0.9552238805970149,0.9461476442657494,0.022608899667129152,10,,sqrt,1.0,300.0
random_forest,0.17748241424560546,0.002617334634857433,0.018088340759277344,0.0008255072447320493,,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__n_estimators': 150}",0.9829721362229102,1.0,0.9891640866873065,0.9876160990712074,0.9772961816305471,0.9874097007223943,0.007531418902174958,8,0.9560439560439561,0.978021978021978,0.9340659340659341,0.945054945054945,0.978021978021978,0.9582417582417582,0.017582417582417565,13,0.96875,0.9444444444444444,0.9375,0.8918918918918919,0.9705882352941176,0.9426349143260909,0.02852326041335486,14,0.9117647058823529,1.0,0.8823529411764706,0.9705882352941176,0.9705882352941176,0.9470588235294117,0.043226289578526686,1,0.9393939393939394,0.9714285714285714,0.9090909090909091,0.9295774647887324,0.9705882352941176,0.944015823999254,0.024112774535498722,13,,sqrt,3.0,150.0
random_forest,0.35130605697631834,0.004634526268405914,0.027183389663696288,0.0009759563305386764,,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__n_estimators': 300}",0.9829721362229101,1.0,0.9886480908152735,0.9871001031991744,0.9767801857585139,0.9871001031991744,0.007646494758655421,13,0.9560439560439561,0.978021978021978,0.9340659340659341,0.9340659340659341,0.967032967032967,0.9538461538461538,0.01758241758241757,15,0.96875,0.9444444444444444,0.9375,0.8888888888888888,0.9696969696969697,0.9418560606060605,0.02942650665555798,15,0.9117647058823529,1.0,0.8823529411764706,0.9411764705882353,0.9411764705882353,0.9352941176470588,0.03901911518065177,6,0.9393939393939394,0.9714285714285714,0.9090909090909091,0.9142857142857143,0.9552238805970149,0.9378846029592298,0.023723873289802716,15,,sqrt,3.0,300.0
random_forest,0.3003955364227295,0.007919315352661755,0.01723928451538086,0.0009710092341635372,,"{'classifier__max_depth': None, 'classifier__max_features': 0.5, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 150}",0.9816821465428277,1.0,0.9987100103199175,0.980908152734778,0.9767801857585139,0.9876160990712075,0.00973715793227258,5,0.9560439560439561,1.0,0.967032967032967,0.945054945054945,0.978021978021978,0.9692307692307693,0.018906209378115657,1,0.96875,1.0,1.0,0.9142857142857143,0.9705882352941176,0.9707247899159663,0.03131569431228654,2,0.9117647058823529,1.0,0.9117647058823529,0.9411764705882353,0.9705882352941176,0.9470588235294117,0.03429971702850177,1,0.9393939393939394,1.0,0.9538461538461539,0.927536231884058,0.9705882352941176,0.9582729120836537,0.025351813977548644,1,,0.5,1.0,150.0
