model,metric,mean,std,folds
logistic_regression,roc_auc,0.9957688338493291,0.004665698474904977,"[0.9948400412796697, 0.9989680082559339, 1.0, 0.9871001031991744, 0.9979360165118679]"
logistic_regression,accuracy,0.9736263736263737,0.014906219743132443,"[0.9560439560439561, 0.967032967032967, 1.0, 0.978021978021978, 0.967032967032967]"
logistic_regression,precision,0.9771428571428572,0.027994168488950616,"[1.0, 0.9428571428571428, 1.0, 1.0, 0.9428571428571428]"
logistic_regression,recall,0.9529411764705882,0.03989605872426629,"[0.8823529411764706, 0.9705882352941176, 1.0, 0.9411764705882353, 0.9705882352941176]"
logistic_regression,f1,0.9640480895915677,0.020700447685741707,"[0.9375, 0.9565217391304348, 1.0, 0.9696969696969697, 0.9565217391304348]"
random_forest,roc_auc,0.9884932920536634,0.006960399888097926,"[0.9824561403508771, 1.0, 0.9927760577915377, 0.9855521155830754, 0.9816821465428277]"
random_forest,accuracy,0.9626373626373628,0.014906219743132469,"[0.9560439560439561, 0.989010989010989, 0.945054945054945, 0.9560439560439561, 0.967032967032967]"
random_forest,precision,0.9637587894395295,0.011356287249804036,"[0.96875, 0.9714285714285714, 0.967741935483871, 0.9411764705882353, 0.9696969696969697]"
random_forest,recall,0.9352941176470588,0.03901911518065177,"[0.9117647058823529, 1.0, 0.8823529411764706, 0.9411764705882353, 0.9411764705882353]"
random_forest,f1,0.948875692006585,0.02096152854779826,"[0.9393939393939394, 0.9855072463768116, 0.9230769230769231, 0.9411764705882353, 0.9552238805970149]"
