,count,mean,std,min,25%,50%,75%,max
mean radius,455.0,14.166076923076924,3.57908106247666,6.981,11.71,13.34,15.934999999999999,28.11
mean texture,455.0,19.417692307692306,4.290652958770482,9.71,16.335,18.9,21.83,39.28
mean perimeter,455.0,92.21586813186812,24.717118095419718,43.79,75.235,86.18,104.5,188.5
mean area,455.0,659.5782417582418,360.418685601652,143.5,420.4,546.4,795.5,2501.0
mean smoothness,455.0,0.09599294505494504,0.014309691030446542,0.06251,0.08513000000000001,0.09524,0.1049,0.1634
mean compactness,455.0,0.10383485714285715,0.05391023379112233,0.01938,0.063735,0.09228,0.13035,0.3454
mean concavity,455.0,0.08918428285714286,0.08169800198599544,0.0,0.029519999999999998,0.0594,0.13219999999999998,0.4268
mean concave points,455.0,0.0490145978021978,0.03968597243507605,0.0,0.019685,0.03334,0.074075,0.2012
mean symmetry,455.0,0.18149714285714286,0.027646249727175373,0.106,0.16205,0.1799,0.1954,0.304
mean fractal dimension,455.0,0.06271481318681318,0.006970598789705975,0.05024,0.057635,0.0613,0.06637000000000001,0.09744
radius error,455.0,0.4111872527472527,0.2901827920271833,0.1115,0.23365000000000002,0.3274,0.485,2.873
texture error,455.0,1.217881978021978,0.5523121407898981,0.3602,0.8418000000000001,1.139,1.4755,4.885
perimeter error,455.0,2.9115687912087918,2.1231189453528923,0.757,1.613,2.31,3.3835,21.98
area error,455.0,41.27910329670329,48.384174369096904,6.802,17.855,24.87,45.39,542.2
smoothness error,455.0,0.006895252747252748,0.0028546094141482397,0.001713,0.005076000000000001,0.006261,0.0080395,0.03113
compactness error,455.0,0.025323432967032967,0.017624042436555774,0.002252,0.013014999999999999,0.02016,0.032045000000000004,0.1064
concavity error,455.0,0.03201755076923077,0.03172928503895084,0.0,0.015035,0.02586,0.040510000000000004,0.396
concave points error,455.0,0.011690617582417583,0.0062892658066323074,0.0,0.0075555,0.01091,0.014509999999999999,0.05279
symmetry error,455.0,0.0204266989010989,0.008310589698451729,0.007882,0.015015,0.0187,0.023004999999999998,0.07895
fractal dimension error,455.0,0.003766038021978022,0.002631996745288172,0.0008948,0.0022195,0.003131,0.0044989999999999995,0.02984
worst radius,455.0,16.351514285714288,4.901037193935313,7.93,13.02,14.92,19.185000000000002,36.04
worst texture,455.0,25.90487912087912,6.079531733422472,12.02,21.490000000000002,25.48,30.2,49.54
worst perimeter,455.0,107.86048351648353,34.17601924443005,50.41,84.13499999999999,97.65,127.0,251.2
worst area,455.0,890.5692307692308,582.3461809144269,185.2,516.15,683.4,1122.5,4254.0
worst smoothness,455.0,0.13208303296703297,0.023481191208296583,0.07117,0.11455,0.1311,0.1466,0.2226
worst compactness,455.0,0.25552947252747255,0.15840002529335978,0.02729,0.14775,0.2167,0.3381,1.058
worst concavity,455.0,0.27516636703296704,0.21206631177059154,0.0,0.11935,0.2298,0.3857,1.252
worst concave points,455.0,0.11549070549450549,0.06684385191051351,0.0,0.064075,0.101,0.1621,0.291
worst symmetry,455.0,0.2913637362637363,0.06304339131624152,0.1565,0.2512,0.2823,0.3187,0.6638
worst fractal dimension,455.0,0.0841236923076923,0.018168652434089758,0.05504,0.071365,0.08009,0.092085,0.2075
